term,pos,comment,translation_ko,comment_ko
2D,Adjective,,2차원,
3D,Adjective,,3차원,
DB,Noun,,DB,
DBMS,Noun,,DBMS,
GIS manager,Noun,,GIS 관리자,
GRASS GIS Attribute Table Manager,Noun,,GRASS GIS 속성 테이블 관리자,
GRASS GIS Cartographic Composer,Noun,,GRASS GIS 지도 작성자,
GRASS GIS Layer Manager,Noun,,GRASS GIS 레이어 관리자,
GRASS GIS Map Display,Noun,,GRASS GIS 지도 디스플레이,
GRASS GIS Raster Map Calculator,Noun,,GRASS GIS 래스터 지도 계산기,
GRASS shell,Noun,,GRASS 셸,
Geographic Information System (GIS),Noun,,지리정보시스템(GIS),
Ground Control Points,Noun,,지상 제어점,
LIDAR,Noun,,LIDAR,
PERMANENT mapset,Noun,,PERMANENT 지도세트,
POV-Ray,Noun,,POV-Ray,
Python,Noun,,파이썬,
RAM,Noun,,RAM,
RGB (Red Green Blue),Noun,,RGB(빨강 초록 파랑),
RMS error (Root Mean Square),Noun,,RMS 오류(평균제곱근오차),
SQL,Noun,,SQL,
SQL clause,Noun,,SQL 구문,
SQL query,Noun,,SQL 질의,
Shapiro-Wilk,Noun,,샤피로-윌크,
Voronoi,Noun,,보로노이,
X windows system,Noun,,X 윈도 시스템,
[Spearfish] database,Noun,,[Spearfish] 데이터베이스,
[analogic] map,Noun,,[유사한] 지도,
[attribute] table,Noun,,[속성] 테이블,
[computational] region,Noun,,[계산] 영역,
[relational] database,Noun,,[관계형] 데이터베이스,
[software] package,Noun,,[소프트웨어] 패키지,
[supervised/unsupervised] classification,Noun,,[감독/무감독] 분류,
accumulation,Noun,,누적,
action,Noun,,작업,
add,Verb,,추가하다,
addon,Noun,,애드온,
adjacent,Adjective,,인접한,
adjust,Verb,,조절하다,
advise,Verb,,알려 주다,
affine,Adjective,,아핀,
aggregate,Verb,,집계하다,
algorithm,Noun,,알고리듬,
align,Verb,,정렬하다,
allocate,Verb,,할당하다,
allow,Verb,,허용하다,
analytic,Adjective,,분석적인,
anchor,Noun,,닻,
animation,Noun,,애니메이션,
arc,Noun,,호,
area,Noun,,"면, 면적, 지역",
area size,Noun,,면 크기,
argument,Noun,,인수,
array,Noun,,배열,
